5000,Sai Ram Deluxe men's Hostel,,9493775652,ameepret b,,,Hostel
5001,sri lakshmi ganapathi boys hostel,,9493990160,Amberpet b,,,Hostel
5002,Sri satyadev PG & boys hostel,,9494049972, Hafeezpet b,,,Hostel
5003,Gayathri Deluxe Girls Hostel,,9494225349,Aghapura b,,,Hostel
5004,Jhanvika reddy girls hostel,,9494275300,Boduppal  b,,,Hostel
5005,Annapurna Boys Hostel,,9494277806,ameepret b,,,Hostel
5006,MN Boys Hostel,,9494364119,Domalguda B,,,Hostel
5007,Stay INN Deluxe Hostel for Girls,,9494454455,Khairtabad g,,,Hostel
5008,KVR women's Deluxe Pg & Hostel,,9494761091, HITEC City g,,,Hostel
5009,Krishna Reddy deluxe boys hostel,,9502024018,Suraram b,,,Hostel
5010,Vijay Nivas Boys Hostel,,9502055736,koti b,,,Hostel
5011,SrBoy's Hostel,,9502061111,Patancheru b,,,Hostel
5012,Mithra Boys Hostel,,9502124131,Gandhi Nagar b,,,Hostel
5013,"Madhapur Mens, Boys Hostel & P.G. Guest House",,9502240344,Madhapur b,,,Hostel
5014,Gopikrishveni boys nd girls hostels,,9502246049,Jamia Osmania b,,,Hostel
5015,Venkata Tanuja Boys Hostel,,9502428937,Balanagar b,,,Hostel
5016,Bhavya Hostel,,9502624218,Banjara Hills b,,,Hostel
5017,"Sri Sai Ram Boys Hostel , chaitanyapuri",,9502624685,Dilsukhnagar b,,,Hostel
5018,Madhavi Reddy Deluxe Girls Hostel,,9502792302,Boduppal  g,,,Hostel
5019,Sai Ram Womens Girls & Working Women Hostel,,9502797809,Gaddiannaram g,,,Hostel
5020,JMJ REDDY S WOMENS HOSTEL,,9502825220,Shaikpet,,,Hostel
5021,Sri Lakshmi Working Mens Hostel,,9502872249,Kukatpally b,,,Hostel
5022,Sri Gowtham Luxury Men's Hostel,,9502878201,Gachibowli B,,,Hostel
5023,Jyothi Ladies Hostel,,9502912329, Mehdipatnam g,,,Hostel
5024,OM Charan Executive PG & Men's Hostel,,9502919267,Kondapur b,,,Hostel
5025,Rahul Boys Hostel,,9502933355,prakash nager b,,,Hostel
5026,Nandini Men's Hostel,,9502977776,Miyapur b,,,Hostel
5027,Royal Pride Boys hostel,,9505001717,SR nager b,,,Hostel
5028,Aadhya Girls Hostel,,9505041415,prakash nager g,,,Hostel
5029,Anupama executive ladies hostel,,9505060206,Jeedimetla g,,,Hostel
5030,Lakshmi Ganapathi Boys Hostel,,9505123145,ameepret b,,,Hostel
5031,CLASSIC A/C BOYS HOSTEL,,9505138888,A.C. Guards b,,,Hostel
5032,Srihari Executive Boys Hostel,,9505189220,SR nager b,,,Hostel
5033,Moms Home PG For Ladies,,9505461869,madinaguda g,,,Hostel
5034,Sri Venkat Men's Hostel,,9505718214,Madhapur b,,,Hostel
5035,Sai Balaji Men's Hostel / PG,,9505882998,Jubilee Hills b,,,Hostel
5036,SAMSKRUTHI EXECUTIVE LADIES HOSTEL,,9505902164,SR nager g,,,Hostel
5037,VIJAY PRATHAP Boys PG Accomodation,,9505952568,Kukatpally b,,,Hostel
5038,Sri Vigneswara Executive women's hostel,,9515015332,ameepret g,,,Hostel
5039,Flavour.s boy's Hostel,,9515061125,Chintalakunta b,,,Hostel
5040,Sree padmajaa women's hostel and PG,,9515066566,Gachibowli,,,Hostel
5041,S V R Ladies Hostel,,9515101305,Hyderguda g,,,Hostel
5042,Svr Pg Accommodation,,9515102416,Hyderguda g,,,Hostel
5043,Prakash Boys Hostel,,9515118471,musheerbad b,,,Hostel
5044,R S Boys Hostel,,9515129423,Tilaknagar b,,,Hostel
5045,Sri Vigneswara Men's Hostel KR,,9515317952,SR nager b,,,Hostel
5046,Tirumala Girls Hostel,,9515347099,kachiguda g,,,Hostel
5047,Apple women's hostel,,9515349724,prakash nager g,,,Hostel
5048,Sri Vinayaka Executive Women's PG Hostel,,9515401915, HITEC City g,,,Hostel
5049,Gouthami Grand Women's PG & Hostel,,9515611179,Nanakramguda g,,,Hostel
5050,Avaasa Luxury Mens Stay Inn,,9515623559,Raidurg b,,,Hostel
5051,Srinivasa Womens Hostel,,9515709112, HITEC City g,,,Hostel
5052,Anjana girls and working womens Hostel,,9515760629,kachiguda g,,,Hostel
5053,Sai Baba Boys Hostel,,9515762059,ameepret b,,,Hostel
5054,Venkateshwara Boys Hostel,,9515773090,musheerbad b,,,Hostel
5055,Sri laxmi boys hostel,,9515936364,Dilsukhnagar b,,,Hostel
5056,Manasvi Boys Hostel,,9533025246,prakash nager b,,,Hostel
5057,Sri Venkata Sai Deluxe Boys Hostel,,9533155514,ameepret b,,,Hostel
5058,Kakatiya Boys Hostel,,9533222151,Boduppal  b,,,Hostel
5059,Friends luxury ladies hostel,,9533230686,SR nager g,,,Hostel
5060,Asian Deluxe Boys Hostel,,9533335404,Dilsukhnagar b,,,Hostel
5061,Quality inn boys Hostel,,9533338996,RajBhavan Road b,,,Hostel
5062,SRI VENKATESWARA WOMENS HOSTEL,,9533908035,Domalguda G,,,Hostel
5063,Srirama Executive Ladies Hostel,,9542069328,ameepret g,,,Hostel
5064,Rithanya Deluxe Ladies Hostel,,9542084032,Koti g,,,Hostel
5065,Ayyappa Boys Hostel,,9542324955,Jeedimetla b,,,Hostel
5066,A B R Women's Hostel,,9542345141,Chanda Nagar g,,,Hostel
5067,Suprabath Boys Hostel,,9542374709,Secunderabad b ,,,Hostel
5068,Hasyareddy Boys Hostel,,9542382567,SR nager b,,,Hostel
5069,"Venkata Madhu Boys Hostel,Chintal,Balanagar.",,9542494348,Balanagar b,,,Hostel
5070,SRI SRI SAINADHA MENS PG ACCOMODATION HOSTEL,,9542665665,Kukatpally b,,,Hostel
5071,B.S.R. Women's Hostel,,9542865022,BHEL Township g,,,Hostel
5072,BC mens Hostel. ?? ?? ???? ????,,9542871746,Kothapet b,,,Hostel
5073,Mukesh men's Hostel,,9542896018,Gachibowli,,,Hostel
5074,Elegant Premium Boys PG & Hostel,,9542909309,Gaddiannaram b,,,Hostel
5075,P. V. R BOYS HOSTEL,,9542978336,SR nager b,,,Hostel
5076,SAANVI Homes - Fully furnished guest house for working professional and students TARNAKA,,9545453773,Tarnaka g,,,Hostel
5077,Sri Sai Durgaa Boy's Hostel,,9550112828,MotiNagar b,,,Hostel
5078,Sri Renuka Deluxe Boys Hostel,,9550120254,SR nager b,,,Hostel
5079,Srija Girls Hostel,,9550206206,narapally g,,,Hostel
5080,Sri Mahalaxmi Ladies Hostel & Pg,,9550279882,Chanda Nagar g,,,Hostel
5081,Hare Krishna Folk Hostel Musheerabad,,9550297335,Musheerabad g,,,Hostel
5082,Abhilash Reddy Deluxe Boys Hostel,,9550305049,Bandlaguda b,,,Hostel
5083,TLR Luxury Mens Hostel,,9550345501,Gachibowli,,,Hostel
5084,Tarun Sai Men's Hostle,,9550551234,Pragathi Nagar b,,,Hostel
5085,SRI KOUSHIKS MEN'S PG AND HOSTEL,,9550567575,Gachibowli B,,,Hostel
5086,Hometel Men's PG,,9550616644, HITEC City b,,,Hostel
5087,Sridevi womens Hostel,,9550717035,ameepret g,,,Hostel
5088,Sri 7Hills Mens Hostel,,9550866227,Madhapur b,,,Hostel
5089,Shri Mahalakshmi Deluxe Men's Hostel(Boys PG),,9550889714,Madhapur b,,,Hostel
5090,Lakshmi Prasanna Women's Hostel,,9550938891,somajiguda g,,,Hostel
5091,Sai super deluxe boys hostel,,9553101669,SR nager b,,,Hostel
5092,Saraswathi boys hostel,,9553239870,barkatpura b,,,Hostel
5093,Laxmi Vivanta Executive Women's Hostel,,9553284131,RTC ROADS B,,,Hostel
5094,Venkateshwara deluxe men's hostel and pg,,9553340007,Raidurg b,,,Hostel
5095,Cs Reddy Hostel,,9553376339,Tilaknagar g,,,Hostel
5096,Sri sai shabrinath men's pg hostel,,9553417410,Gachibowli,,,Hostel
5097,Sailaja Mens Hostel,,9553478469,IDA Bollaram g,,,Hostel
5098,VS DELUXE BOYS HOSTEL,,9553544446,ameepret b,,,Hostel
5099,sri Venkateshwara Msr Luxury Ladies Hostel,,9553666805,SR nager g,,,Hostel
5100,Sri Balaji Boys Deluxe Hostel,,9553728849,sanathnager b,,,Hostel
5101,Shiva Ganga Boys Hostel,,9553775454,Ramanthapur b,,,Hostel
5102,Venkata Krishna Kumari Girls Hostel,,9553827464,Barkatpura g,,,Hostel
5103,Sri lakshmi boys hostel,,9553867127,Chintalakunta b,,,Hostel
5104,Sneha Boy's Hostel,,9573003016,hayathnager g,,,Hostel
5105,Boys hostel,,9573016578,Khairtabad b,,,Hostel
5106,Sri sai women's pg house,,9573053148,Madhapur g,,,Hostel
5107,SRI TOSHINI WOMENS PG,,9573140999,Gachibowli,,,Hostel
5108,SVR BOYS HOSTEL,,9573330346,Balkampet  b,,,Hostel
5109,Sree Rama Girls Hostel,,9573541917,Vanasthalipuram g,,,Hostel
